grammar,language,gender,age,socialmedia,education,educ_un,smart_stup,stim,friend_un,fem_not,young_old,funny_un,form_cas,prent_unp,masc_not,user_gender
2,english,Female,27,3,2,4,3,noth_ing,4,6,5,4,7,4,3,male
2,english,Male,26,1,3,4,4,noth_inn,5,4,5,4,4,4,4,male
2,english,Female,27,5,2,4,4,noth_ing,7,4,5,3,5,5,4,male
3,english,Male,31,3,1,5,4,noth_inn,4,4,5,4,4,2,4,male
4,english,Male,21,5,2,4,2,noth_inn,6,5,3,3,6,3,3,male
2,english,Male,29,5,2,4,4,noth_ing,6,4,3,3,6,6,4,male
3,english,Female,18,5,2,4,4,noth_inn,4,5,5,2,7,4,2,male
1,english,Male,25,4,3,1,7,noth_inn,1,3,4,1,1,1,1,male
2,english,Female,31,5,1,4,4,noth_ing,4,4,4,4,4,4,4,male
2,english,Male,30,4,3,4,4,noth_inn,4,4,4,4,7,3,5,male
2,english,Male,30,3,1,4,4,noth_ing,4,3,3,4,6,3,5,male
4,english,Female,47,4,2,3,3,noth_ing,6,5,5,4,6,2,3,male
2,english,Female,23,5,2,4,4,noth_inn,6,4,3,4,5,4,4,male
3,english,Male,29,4,4,6,5,noth_inn,5,6,3,3,6,6,3,male
3,english,Female,46,5,3,4,1,noth_ing,7,7,5,4,7,7,4,male
2,english,Male,25,5,2,4,3,noth_inn,5,4,6,4,6,3,4,male
3,english,Male,66,5,3,4,4,noth_ing,4,4,4,4,4,4,4,male
3,english,Female,27,4,2,4,4,noth_ing,7,7,3,1,7,7,7,male
2,english,Male,26,1,3,2,2,noth_ing,2,3,4,2,2,2,2,male
3,english,Male,24,1,3,3,4,noth_ing,3,3,3,5,6,2,5,male
4,english,Male,30,5,3,2,5,noth_ing,3,3,3,5,6,1,5,male
1,english,Male,39,5,1,3,4,noth_ing,5,4,3,3,3,4,4,male
2,english,Female,51,5,3,4,4,noth_ing,6,4,5,3,4,4,4,male
1,english,Male,31,5,3,3,2,noth_ing,6,6,5,2,7,7,2,male
2,english,Female,42,4,4,5,4,noth_inn,5,4,4,4,6,4,4,male
3,english,Female,35,5,3,4,3,noth_ing,5,4,4,3,5,5,4,male
4,english,Female,52,4,3,2,3,noth_inn,7,7,3,1,4,4,1,male
2,english,Female,23,5,2,3,3,noth_ing,6,4,5,3,7,4,4,male
3,english,Female,23,2,2,6,3,noth_ing,5,3,4,4,4,4,5,male
2,english,Male,27,5,2,4,4,noth_inn,6,5,3,2,6,6,2,male
3,english,Male,24,1,3,4,5,noth_inn,6,4,4,5,5,5,5,male
4,english,Female,25,5,2,1,1,noth_ing,7,7,3,1,7,7,7,male
